fips,male_total,male_disabled_under_5,male_nondisabled_under_5,male_disabled_5_to_17,male_nondisabled_5_to_17,male_disabled_18_to_34,male_nondisabled_18_to_34,male_disabled_35_to_64,male_nondisabled_35_to_64,male_disabled_65_to_74,male_nondisabled_65_to_74,male_disabled_75_plus,male_nondisabled_75_plus,female_total,female_disabled_under_5,female_nondisabled_under_5,female_disabled_5_to_17,female_nondisabled_5_to_17,female_disabled_18_to_34,female_nondisabled_18_to_34,female_disabled_35_to_64,female_nondisabled_35_to_64,female_disabled_65_to_74,female_nondisabled_65_to_74,female_disabled_75_plus,female_nondisabled_75_plus
42101008601,1332.0,0.0,56.0,24.0,68.0,29.0,576.0,61.0,369.0,24.0,71.0,10.0,44.0,1701.0,0.0,73.0,0.0,152.0,2.0,838.0,40.0,395.0,40.0,58.0,82.0,21.0
42101036502,2015.0,0.0,80.0,33.0,331.0,26.0,413.0,42.0,798.0,65.0,87.0,59.0,81.0,2011.0,0.0,65.0,0.0,255.0,35.0,377.0,135.0,688.0,45.0,156.0,109.0,146.0
42101036700,1672.0,0.0,88.0,0.0,77.0,27.0,650.0,38.0,690.0,16.0,47.0,25.0,14.0,1363.0,0.0,49.0,8.0,51.0,41.0,705.0,47.0,339.0,13.0,53.0,36.0,21.0
42101037600,1557.0,0.0,25.0,0.0,59.0,45.0,634.0,194.0,515.0,22.0,48.0,10.0,5.0,1412.0,0.0,53.0,0.0,95.0,0.0,779.0,62.0,255.0,0.0,139.0,29.0,0.0
42101038600,620.0,0.0,27.0,0.0,103.0,0.0,27.0,12.0,319.0,0.0,116.0,0.0,16.0,770.0,0.0,21.0,0.0,119.0,0.0,52.0,27.0,323.0,20.0,174.0,23.0,11.0
42101038900,1622.0,0.0,146.0,39.0,224.0,51.0,253.0,287.0,436.0,43.0,84.0,14.0,45.0,1888.0,0.0,20.0,0.0,312.0,97.0,372.0,310.0,434.0,39.0,133.0,121.0,50.0
42101038500,922.0,0.0,53.0,0.0,132.0,25.0,104.0,66.0,355.0,37.0,95.0,15.0,40.0,975.0,0.0,66.0,0.0,59.0,0.0,131.0,24.0,413.0,28.0,138.0,41.0,75.0
42101038700,1058.0,0.0,93.0,4.0,115.0,3.0,422.0,22.0,245.0,13.0,111.0,6.0,24.0,1355.0,0.0,58.0,6.0,135.0,4.0,464.0,27.0,381.0,27.0,199.0,11.0,43.0
42101038800,1638.0,0.0,151.0,6.0,233.0,0.0,312.0,17.0,649.0,30.0,134.0,45.0,61.0,2097.0,0.0,62.0,10.0,231.0,38.0,304.0,83.0,932.0,31.0,183.0,80.0,143.0
42101980000,403.0,0.0,0.0,0.0,0.0,8.0,348.0,10.0,33.0,4.0,0.0,0.0,0.0,516.0,0.0,20.0,0.0,15.0,0.0,425.0,4.0,40.0,3.0,5.0,4.0,0.0
42101010000,1873.0,0.0,39.0,33.0,481.0,11.0,439.0,65.0,572.0,34.0,76.0,88.0,35.0,2871.0,0.0,238.0,0.0,595.0,48.0,616.0,195.0,940.0,38.0,126.0,60.0,15.0
42101010100,3341.0,0.0,240.0,59.0,322.0,277.0,1196.0,271.0,684.0,58.0,81.0,132.0,21.0,4390.0,0.0,259.0,0.0,902.0,90.0,1169.0,204.0,1277.0,37.0,111.0,109.0,232.0
42101010700,1563.0,0.0,283.0,25.0,237.0,23.0,449.0,174.0,324.0,20.0,18.0,0.0,10.0,1964.0,0.0,114.0,0.0,471.0,80.0,390.0,106.0,633.0,61.0,63.0,10.0,36.0
