fips,car_truck_van,public_transit_total,bus,trolley,subway,railroad,ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_at_home
42101004102,1556.0,1205.0,1000.0,0.0,112.0,93.0,0.0,0.0,0.0,303.0,275.0,37.0,79.0
42101015800,1914.0,955.0,299.0,0.0,640.0,16.0,0.0,0.0,0.0,150.0,202.0,24.0,275.0
42101009400,338.0,634.0,374.0,0.0,209.0,51.0,0.0,0.0,0.0,25.0,286.0,0.0,88.0
42101009500,330.0,690.0,515.0,0.0,140.0,35.0,0.0,0.0,0.0,7.0,83.0,0.0,0.0
42101036301,1728.0,176.0,126.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,32.0,13.0,10.0
42101035302,1702.0,192.0,113.0,0.0,20.0,59.0,0.0,0.0,0.0,9.0,35.0,0.0,59.0
42101035500,2432.0,538.0,340.0,0.0,87.0,111.0,0.0,0.0,0.0,0.0,85.0,71.0,57.0
42101036203,2141.0,108.0,32.0,0.0,0.0,76.0,0.0,0.0,0.0,9.0,68.0,20.0,66.0
42101036400,156.0,33.0,7.0,0.0,19.0,7.0,0.0,0.0,0.0,5.0,19.0,4.0,29.0
42101020500,393.0,229.0,219.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,24.0,0.0,35.0
42101021800,2105.0,478.0,429.0,0.0,0.0,49.0,0.0,0.0,0.0,58.0,0.0,0.0,51.0
42101021900,727.0,47.0,26.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,14.0,0.0,58.0
42101025500,794.0,373.0,137.0,0.0,35.0,201.0,0.0,0.0,0.0,0.0,6.0,94.0,141.0
42101025600,930.0,295.0,124.0,0.0,0.0,171.0,0.0,0.0,0.0,59.0,75.0,15.0,64.0
42101026301,1144.0,402.0,328.0,0.0,42.0,32.0,0.0,0.0,0.0,0.0,23.0,8.0,13.0
42101027000,973.0,274.0,151.0,0.0,110.0,13.0,0.0,0.0,0.0,0.0,12.0,0.0,90.0
42101024700,741.0,260.0,168.0,0.0,50.0,42.0,0.0,0.0,0.0,8.0,112.0,11.0,49.0
42101003800,983.0,480.0,386.0,0.0,94.0,0.0,0.0,18.0,0.0,16.0,95.0,36.0,15.0
42101012500,1368.0,287.0,122.0,64.0,52.0,49.0,0.0,39.0,0.0,113.0,1137.0,16.0,162.0
42101021000,2289.0,513.0,193.0,0.0,0.0,320.0,0.0,0.0,0.0,14.0,278.0,0.0,94.0
42101034702,1615.0,264.0,118.0,0.0,54.0,92.0,0.0,0.0,0.0,0.0,29.0,0.0,32.0
42101026600,1592.0,629.0,471.0,15.0,68.0,75.0,0.0,0.0,0.0,0.0,44.0,0.0,55.0
42101010400,402.0,449.0,355.0,0.0,94.0,0.0,0.0,0.0,0.0,11.0,21.0,36.0,62.0
42101013200,231.0,235.0,190.0,0.0,35.0,10.0,0.0,0.0,0.0,50.0,25.0,9.0,64.0
42101017601,704.0,295.0,244.0,0.0,36.0,15.0,0.0,0.0,0.0,0.0,38.0,9.0,0.0
42101003600,1227.0,742.0,690.0,0.0,52.0,0.0,0.0,36.0,0.0,36.0,105.0,17.0,0.0
42101017000,870.0,248.0,134.0,0.0,12.0,102.0,0.0,0.0,0.0,0.0,24.0,0.0,39.0
42101024300,813.0,336.0,219.0,0.0,50.0,67.0,0.0,0.0,0.0,17.0,0.0,0.0,52.0
42101027600,593.0,728.0,503.0,0.0,135.0,90.0,0.0,0.0,0.0,0.0,13.0,0.0,28.0
42101001600,667.0,413.0,247.0,0.0,115.0,51.0,0.0,27.0,0.0,78.0,254.0,18.0,156.0
42101003902,1502.0,798.0,430.0,0.0,368.0,0.0,0.0,0.0,0.0,126.0,171.0,13.0,197.0
42101007800,932.0,736.0,325.0,278.0,36.0,97.0,0.0,0.0,16.0,394.0,298.0,0.0,52.0
42101009300,674.0,723.0,415.0,0.0,308.0,0.0,0.0,0.0,0.0,14.0,70.0,23.0,34.0
42101032100,1060.0,257.0,165.0,24.0,29.0,39.0,0.0,0.0,0.0,33.0,108.0,0.0,25.0
42101021400,2213.0,538.0,247.0,0.0,93.0,198.0,0.0,7.0,0.0,0.0,150.0,0.0,72.0
42101034900,1973.0,408.0,357.0,0.0,13.0,38.0,0.0,0.0,0.0,0.0,69.0,43.0,66.0
42101026900,576.0,196.0,103.0,0.0,41.0,52.0,0.0,0.0,0.0,0.0,57.0,0.0,17.0
42101029200,1562.0,297.0,240.0,8.0,37.0,12.0,0.0,8.0,0.0,19.0,38.0,38.0,0.0
42101031300,2415.0,419.0,278.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,139.0,64.0,74.0
42101032500,1807.0,642.0,426.0,11.0,145.0,60.0,0.0,0.0,0.0,0.0,62.0,24.0,41.0
42101001400,1092.0,423.0,266.0,0.0,87.0,70.0,0.0,117.0,0.0,249.0,732.0,0.0,222.0
42101036302,1233.0,293.0,176.0,0.0,0.0,117.0,0.0,0.0,0.0,32.0,54.0,2.0,72.0
42101020102,386.0,466.0,316.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,40.0
42101031101,1528.0,282.0,212.0,0.0,70.0,0.0,0.0,0.0,0.0,12.0,101.0,79.0,53.0
42101031102,1276.0,636.0,379.0,0.0,243.0,14.0,0.0,0.0,0.0,0.0,62.0,9.0,11.0
